player_name,matches,innings_batted,runs_scored,balls_faced,strike_rate,average,fours,sixes,overs_bowled,balls_bowled,runs_conceded,wickets,economy,bowling_average
Shubman Gill,62,62,2277,1666,136.67,39.95,223,71,0,0,0,0,0,0
F du Plessis,61,61,2269,1607,141.19,40.52,217,93,0,0,0,0,0,0
RD Gaikwad,59,59,2176,1608,135.32,41.85,201,85,0,0,0,0,0,0
V Kohli,60,60,2126,1623,130.99,40.88,202,71,0,0,0,0,0,0
KL Rahul,50,50,2036,1582,128.7,48.48,166,83,0,0,0,0,0,0
JC Buttler,49,49,1868,1333,140.14,41.51,189,84,0,0,0,0,0,0
SV Samson,60,60,1835,1300,141.15,36.7,161,91,0,0,0,0,0,0
S Dhawan,46,47,1572,1275,123.29,38.34,177,44,0,0,0,0,0,0
SA Yadav,49,49,1570,985,159.39,34.89,164,72,0,0,0,0,0,0
YBK Jaiswal,49,49,1567,1051,149.1,34.07,197,62,1,1,6,0,36.0,0
Ishan Kishan,53,53,1433,1084,132.2,28.1,155,55,0,0,0,0,0,0
RG Sharma,57,57,1398,1092,128.02,25.42,141,67,2,7,13,0,11.14,0
S Dube,48,48,1333,935,142.57,34.18,80,89,8,51,107,1,12.59,107.0
VR Iyer,49,49,1326,1000,132.6,31.57,121,61,14,84,145,3,10.36,48.33
DA Warner,42,43,1313,1028,127.72,36.47,153,41,0,0,0,0,0,0
GJ Maxwell,50,50,1266,828,152.9,30.14,114,69,67,407,525,18,7.74,29.17
RA Tripathi,49,49,1248,894,139.6,29.02,128,47,0,0,0,0,0,0
N Pooran,52,52,1248,818,152.57,33.73,80,88,0,0,0,0,0,0
Abhishek Sharma,48,48,1234,821,150.3,26.83,118,65,33,204,283,8,8.32,35.38
RR Pant,42,43,1210,873,138.6,35.59,114,51,0,0,0,0,0,0
N Rana,46,46,1199,922,130.04,29.24,107,60,13,78,110,3,8.46,36.67
Q de Kock,41,41,1198,908,131.94,30.72,115,47,0,0,0,0,0,0
HH Pandya,54,54,1176,911,129.09,28.68,103,43,92,571,856,22,8.99,38.91
Tilak Varma,38,38,1156,830,139.28,41.29,90,58,4,23,28,0,7.3,0
D Padikkal,49,49,1086,925,117.41,23.11,119,34,0,0,0,0,0,0
DA Miller,46,46,1074,796,134.92,41.31,81,47,0,0,0,0,0,0
PP Shaw,41,41,1066,716,148.88,26.65,139,34,0,0,0,0,0,0
MP Stoinis,46,46,1041,743,140.11,28.92,85,57,44,269,431,15,9.61,28.73
B Sai Sudharsan,25,25,1034,770,134.29,49.24,95,32,0,0,0,0,0,0
KD Karthik,57,57,1019,661,154.16,29.97,89,56,0,0,0,0,0,0
AK Markram,42,42,995,787,126.43,30.15,73,35,21,123,173,2,8.44,86.5
MA Agarwal,38,38,971,769,126.27,26.24,102,31,0,0,0,0,0,0
SO Hetmyer,49,49,968,651,148.69,37.23,61,63,0,0,0,0,0,0
AD Russell,44,43,967,630,153.49,30.22,65,80,96,585,948,54,9.72,17.56
WP Saha,46,46,955,827,115.48,22.21,112,23,0,0,0,0,0,0
R Parag,45,45,927,695,133.38,26.49,61,52,14,84,159,2,11.36,79.5
SS Iyer,36,36,927,741,125.1,34.33,82,30,1,6,7,0,7.0,0
H Klaasen,26,26,927,555,167.03,44.14,51,63,0,0,0,0,0,0
DP Conway,22,22,924,669,138.12,48.63,100,30,0,0,0,0,0,0
LS Livingstone,35,35,869,561,154.9,29.97,60,61,43,261,382,11,8.78,34.73
MM Ali,40,40,853,650,131.23,23.69,74,44,84,506,591,25,7.01,23.64
DJ Hooda,46,46,840,665,126.32,21.0,64,32,24,145,209,3,8.65,69.67
RK Singh,32,32,816,575,141.91,37.09,61,44,0,0,0,0,0,0
RA Jadeja,56,44,800,604,132.45,34.78,58,31,186,1136,1402,46,7.4,30.48
RM Patidar,24,24,799,534,149.63,34.74,51,54,0,0,0,0,0,0
JM Bairstow,29,29,799,556,143.71,30.73,87,38,0,0,0,0,0,0
AR Patel,52,41,740,573,129.14,28.46,54,36,181,1099,1322,43,7.22,30.74
JM Sharma,36,36,730,501,145.71,22.81,53,45,0,0,0,0,0,0
